Graph 	SeedNum 	NodeNum 	Area	Radius
GG	1	300	43756.5	60
RNG	1	300	53064.5	60
GG	1	350	36912.0	60
RNG	1	350	41854.5	60
GG	1	400	34041.5	60
RNG	1	400	37147.5	60
GG	1	450	32304.0	60
RNG	1	450	36668.0	60
GG	1	500	33308.5	60
RNG	1	500	34380.0	60
GG	1	550	29607.0	60
RNG	1	550	30645.0	60
GG	1	600	29678.5	60
RNG	1	600	30849.0	60
GG	1	650	28672.0	60
RNG	1	650	30520.5	60
GG	1	700	28527.0	60
RNG	1	700	34925.5	60
GG	2	300	32825.0	60
RNG	2	300	39305.5	60
GG	2	350	29770.5	60
RNG	2	350	46940.0	60
GG	2	400	26202.0	60
RNG	2	400	39571.0	60
GG	2	450	26941.5	60
RNG	2	450	30440.5	60
GG	2	500	26492.5	60
RNG	2	500	32066.0	60
GG	2	550	24158.5	60
RNG	2	550	31693.0	60
GG	2	600	24319.0	60
RNG	2	600	28893.5	60
GG	2	650	24438.5	60
RNG	2	650	29946.0	60
GG	2	700	22645.5	60
RNG	2	700	27076.0	60
GG	3	300	41060.5	60
RNG	3	300	49639.0	60
GG	3	350	27387.0	60
RNG	3	350	33527.5	60
GG	3	400	30297.0	60
RNG	3	400	34810.5	60
GG	3	450	24139.5	60
RNG	3	450	29127.0	60
GG	3	500	24264.0	60
RNG	3	500	29507.0	60
GG	3	550	22723.5	60
RNG	3	550	26805.5	60
GG	3	600	20404.5	60
RNG	3	600	25392.0	60
GG	3	650	20093.5	60
RNG	3	650	28941.5	60
GG	3	700	20224.0	60
RNG	3	700	27839.5	60
GG	4	300	0.0	60
RNG	4	300	28479.5	60
GG	4	350	29226.5	60
RNG	4	350	28357.0	60
GG	4	400	25690.0	60
RNG	4	400	34185.5	60
GG	4	450	25337.0	60
RNG	4	450	34549.5	60
GG	4	500	23816.0	60
RNG	4	500	36658.0	60
GG	4	550	22866.0	60
RNG	4	550	25915.0	60
GG	4	600	19472.5	60
RNG	4	600	26940.0	60
GG	4	650	19847.5	60
RNG	4	650	22020.0	60
GG	4	700	19741.5	60
RNG	4	700	21014.5	60
GG	5	300	0.0	60
RNG	5	300	0.0	60
GG	5	350	47287.0	60
RNG	5	350	52053.5	60
GG	5	400	44418.0	60
RNG	5	400	0.0	60
GG	5	450	38470.5	60
RNG	5	450	40371.0	60
GG	5	500	33750.0	60
RNG	5	500	33034.0	60
GG	5	550	33177.0	60
RNG	5	550	34747.0	60
GG	5	600	31709.0	60
RNG	5	600	34892.5	60
GG	5	650	31558.0	60
RNG	5	650	33855.0	60
GG	5	700	31115.0	60
RNG	5	700	36267.5	60
GG	6	300	33480.5	60
RNG	6	300	41793.0	60
GG	6	350	31546.0	60
RNG	6	350	37524.0	60
GG	6	400	28732.0	60
RNG	6	400	39726.5	60
GG	6	450	30388.0	60
RNG	6	450	38351.5	60
GG	6	500	29280.5	60
RNG	6	500	46079.5	60
GG	6	550	29194.0	60
RNG	6	550	34583.5	60
GG	6	600	25655.0	60
RNG	6	600	35966.5	60
GG	6	650	21630.0	60
RNG	6	650	32701.0	60
GG	6	700	23262.5	60
RNG	6	700	0.0	60
GG	7	300	61133.0	60
RNG	7	300	59970.5	60
GG	7	350	39529.5	60
RNG	7	350	54856.0	60
GG	7	400	0.0	60
RNG	7	400	42735.0	60
GG	7	450	0.0	60
RNG	7	450	42938.5	60
GG	7	500	0.0	60
RNG	7	500	41643.5	60
GG	7	550	0.0	60
RNG	7	550	43475.0	60
GG	7	600	0.0	60
RNG	7	600	38993.0	60
GG	7	650	29681.0	60
RNG	7	650	40055.0	60
GG	7	700	28003.0	60
RNG	7	700	33345.0	60
GG	8	300	30767.5	60
RNG	8	300	43336.0	60
GG	8	350	29993.0	60
RNG	8	350	34719.5	60
GG	8	400	29570.5	60
RNG	8	400	34087.5	60
GG	8	450	22635.0	60
RNG	8	450	34829.0	60
GG	8	500	23534.0	60
RNG	8	500	29241.5	60
GG	8	550	23406.5	60
RNG	8	550	28175.5	60
GG	8	600	22160.5	60
RNG	8	600	34310.5	60
GG	8	650	22117.5	60
RNG	8	650	28370.5	60
GG	8	700	20005.5	60
RNG	8	700	27071.0	60
GG	9	300	0.0	60
RNG	9	300	0.0	60
GG	9	350	30875.0	60
RNG	9	350	33343.5	60
GG	9	400	0.0	60
RNG	9	400	35953.5	60
GG	9	450	33402.5	60
RNG	9	450	36239.5	60
GG	9	500	31461.5	60
RNG	9	500	40938.0	60
GG	9	550	32044.0	60
RNG	9	550	33853.5	60
GG	9	600	25854.5	60
RNG	9	600	30907.0	60
GG	9	650	26328.0	60
RNG	9	650	29804.5	60
GG	9	700	20220.5	60
RNG	9	700	23685.0	60
GG	10	300	53063.0	60
RNG	10	300	48659.5	60
GG	10	350	36583.0	60
RNG	10	350	42740.5	60
GG	10	400	33966.5	60
RNG	10	400	38021.0	60
GG	10	450	32987.5	60
RNG	10	450	38572.0	60
GG	10	500	23161.0	60
RNG	10	500	32963.5	60
GG	10	550	21908.5	60
RNG	10	550	29330.0	60
GG	10	600	22179.5	60
RNG	10	600	27976.5	60
GG	10	650	20119.0	60
RNG	10	650	25310.5	60
GG	10	700	19469.0	60
RNG	10	700	24946.0	60
GG	1	300	50337.0	65
RNG	1	300	51051.5	65
GG	1	350	36963.5	65
RNG	1	350	45485.0	65
GG	1	400	38245.5	65
RNG	1	400	39027.5	65
GG	1	450	35908.5	65
RNG	1	450	41086.5	65
GG	1	500	35368.0	65
RNG	1	500	37081.0	65
GG	1	550	31765.5	65
RNG	1	550	35554.0	65
GG	1	600	34402.0	65
RNG	1	600	32921.0	65
GG	1	650	31761.5	65
RNG	1	650	32869.0	65
GG	1	700	30244.0	65
RNG	1	700	34568.5	65
GG	2	300	31254.0	65
RNG	2	300	39305.5	65
GG	2	350	29862.0	65
RNG	2	350	35158.0	65
GG	2	400	30103.5	65
RNG	2	400	33164.0	65
GG	2	450	30446.0	65
RNG	2	450	36081.0	65
GG	2	500	30395.5	65
RNG	2	500	38995.5	65
GG	2	550	28083.0	65
RNG	2	550	43310.5	65
GG	2	600	29088.0	65
RNG	2	600	32032.5	65
GG	2	650	25973.0	65
RNG	2	650	29878.5	65
GG	2	700	24525.0	65
RNG	2	700	0.0	65
GG	3	300	46631.5	65
RNG	3	300	48240.0	65
GG	3	350	29725.5	65
RNG	3	350	56488.5	65
GG	3	400	27267.0	65
RNG	3	400	34851.5	65
GG	3	450	27713.5	65
RNG	3	450	32887.5	65
GG	3	500	27829.0	65
RNG	3	500	32826.5	65
GG	3	550	24451.0	65
RNG	3	550	30465.0	65
GG	3	600	22444.5	65
RNG	3	600	27847.5	65
GG	3	650	23267.0	65
RNG	3	650	37720.5	65
GG	3	700	21052.5	65
RNG	3	700	32149.5	65
GG	4	300	31625.5	65
RNG	4	300	40216.5	65
GG	4	350	30374.5	65
RNG	4	350	31091.0	65
GG	4	400	30571.0	65
RNG	4	400	31108.0	65
GG	4	450	28786.5	65
RNG	4	450	33026.5	65
GG	4	500	26676.0	65
RNG	4	500	32464.0	65
GG	4	550	28023.0	65
RNG	4	550	30977.0	65
GG	4	600	23095.5	65
RNG	4	600	33718.5	65
GG	4	650	23631.0	65
RNG	4	650	32732.5	65
GG	4	700	23005.5	65
RNG	4	700	26346.0	65
GG	5	300	0.0	65
RNG	5	300	0.0	65
GG	5	350	47631.0	65
RNG	5	350	52697.5	65
GG	5	400	56163.0	65
RNG	5	400	55782.5	65
GG	5	450	0.0	65
RNG	5	450	50070.5	65
GG	5	500	0.0	65
RNG	5	500	39369.5	65
GG	5	550	0.0	65
RNG	5	550	44388.0	65
GG	5	600	0.0	65
RNG	5	600	41292.0	65
GG	5	650	0.0	65
RNG	5	650	0.0	65
GG	5	700	0.0	65
RNG	5	700	34998.5	65
GG	6	300	34963.0	65
RNG	6	300	41601.5	65
GG	6	350	30063.0	65
RNG	6	350	38488.5	65
GG	6	400	29003.5	65
RNG	6	400	39913.0	65
GG	6	450	27056.0	65
RNG	6	450	39286.0	65
GG	6	500	26704.0	65
RNG	6	500	37762.5	65
GG	6	550	27568.0	65
RNG	6	550	41578.0	65
GG	6	600	24771.0	65
RNG	6	600	34465.0	65
GG	6	650	25339.5	65
RNG	6	650	31260.0	65
GG	6	700	23167.5	65
RNG	6	700	25614.5	65
GG	7	300	0.0	65
RNG	7	300	62274.0	65
GG	7	350	43548.0	65
RNG	7	350	0.0	65
GG	7	400	35780.5	65
RNG	7	400	43490.0	65
GG	7	450	0.0	65
RNG	7	450	50138.5	65
GG	7	500	0.0	65
RNG	7	500	40722.0	65
GG	7	550	0.0	65
RNG	7	550	44621.5	65
GG	7	600	0.0	65
RNG	7	600	42072.5	65
GG	7	650	32353.0	65
